song_title,artist_names,artist_ids,song_id
Teeth Grinding [Mixed],"['Noize Suppressor', 'Multiplex MC']","['69IwChH6kBVij0cmVHSOtt', '4UH0QIaP1EfgY5FYAjMORI']",009s5n5VZw4BlFBRJ27rnp
Achei Que Fosse Fácil,['Bala na Agulha'],['5uKIde9lSDOLoGbRspbhvF'],004dXjRVGDeHXat28g5TU3
Euphoria,['Luca'],['4hheW577K2nAMAwDuTGAA4'],00KPugdklpcrFNnjWlXjj2
Kamikaze,['Kempachii'],['5UE3fPtMEts6UkMutPv2jx'],00RZmL4JzBb5OUU8xJkGRo
Zara Zara Bahekta Hai Flute Version,['Rahul Krishnan'],['0kq6d6xbUX0J9lvpWDkDdJ'],00WNfqLUIIwSstWJpD9EKX
"Top Gun Anthem - From ""Top Gun"" Original Soundtrack","['Harold Faltermeyer', 'Steve Stevens']","['7Cf73Z3RZQTH4V69GSDxnv', '4ZMaiDLfxDaoG7ULXgcnDb']",00Y9r5SfbDdEjJhNg7laQr
The Girl I Haven't Met,['Kudasaibeats'],['3VcaBezSFVJHqylrhaYun2'],00iwQgjIgoGO94BRBDyClo
Tá Assim por Que Tá Boladona Terminei Com Ela,"['MC Durrony', 'Selminho DJ']","['2s1GtomGAJ3fnqQBkUXbIL', '1szIIFdhWodOHfQUDn39ib']",00l1G4QGiPifBhtdlBr9Cc
Virus,"['PapaBoyz', 'Motreb']","['6wM6v2jCn7AXZREd2syCt3', '3a6Xy3UWd9AA5Zs1Dw22VU']",00n3ox9nr2AZqXlf1ypgo0
Him & I (Made Popular By G-Easy & Halsey) [Instrumental Version],['Party Tyme Karaoke'],['3JoDcjZtpq0ccldFgYmeAB'],016OfC5q622li8rm9PqkBA
nun id change - slowed + reverb,"['slō', 'twilight']","['5ENhy70PiA8QzfghaFQ7Ey', '4xEsDLdD6DgtKhlCCJq4Ri']",01CojiJoqRsxBsfhzp7zqQ
Foot Tapper,['The Six Strings'],['3dJ2gOxe9dnsmdqK1MbulT'],01G7qnTfAGgUFmzVO9IGdO
Old World Memories,"['Ramin Djawadi', 'Brandon Campbell']","['1hCkSJcXREhrodeIHQdav8', '0xaog1MHZ1DPRCTIraLsPg']",01KdKvfaKaeMMDE1qWW2bY
SE FOSSE PUTARIA,['Guapο'],['4nFqmtPrXxQyQZMS7Ul56B'],01ZzJSbjI144q1FXUfQGlI
Hot Bollywood,['Downing And Mayer'],['0dL8zlZTSHT5M4TPVMRO9V'],01hD5IgXyyLULmRwgA1yVy
RAVE,['Dxrk ダーク'],['5TvFfw1MgSntdU9A7yncyA'],01kfSdF9zfcDLri5sSWEoL
Eternity,['Yosuf'],['0pceb68in41LfgvQbkvCzg'],01mgxjelLLSAn5mcWfM31b
